date,sensor,data
12-10-2018 11:50:09,P10,283
12-10-2018 11:50:09,P11,248
12-10-2018 11:50:09,P12,260
12-10-2018 11:50:16,F20,501
12-10-2018 12:00:01,F10,506
12-10-2018 12:00:08,P10,283
12-10-2018 12:00:08,P11,248
12-10-2018 12:00:08,P12,260
12-10-2018 12:00:15,F20,504
12-10-2018 12:10:01,F10,510
12-10-2018 12:10:08,P10,283
12-10-2018 12:10:08,P11,248
12-10-2018 12:10:08,P12,260
12-10-2018 12:10:16,F20,505
12-10-2018 12:20:01,F10,510
12-10-2018 12:20:08,P10,283
12-10-2018 12:20:08,P11,249
12-10-2018 12:20:08,P12,261
12-10-2018 12:20:15,F20,505
12-10-2018 12:30:01,F10,511
12-10-2018 12:30:08,P10,284
12-10-2018 12:30:08,P11,249
12-10-2018 12:30:08,P12,261
12-10-2018 12:30:15,F20,509
12-10-2018 12:40:01,F10,511
12-10-2018 12:40:09,P10,283
12-10-2018 12:40:09,P11,249
12-10-2018 12:40:09,P12,261
12-10-2018 12:40:16,F20,513
12-10-2018 12:50:01,F10,515
12-10-2018 12:50:08,P10,284
12-10-2018 12:50:08,P11,250
12-10-2018 12:50:08,P12,262
12-10-2018 12:50:15,F20,511
12-10-2018 13:00:01,F10,512
12-10-2018 13:00:08,P10,284
12-10-2018 13:00:08,P11,249
12-10-2018 13:00:08,P12,261
12-10-2018 13:00:15,F20,516
12-10-2018 13:10:02,F10,517
12-10-2018 13:10:09,P10,284
12-10-2018 13:10:09,P11,250
12-10-2018 13:10:09,P12,261
12-10-2018 13:10:16,F20,516
12-10-2018 13:20:01,F10,517
12-10-2018 13:20:08,P10,285
12-10-2018 13:20:08,P11,250
12-10-2018 13:20:08,P12,262
12-10-2018 13:20:15,F20,521
12-10-2018 13:30:01,F10,520
12-10-2018 13:30:09,P10,285
12-10-2018 13:30:09,P11,251
12-10-2018 13:30:09,P12,262
12-10-2018 13:30:16,F20,522
12-10-2018 13:40:01,F10,517
12-10-2018 13:40:08,P10,285
12-10-2018 13:40:08,P11,250
12-10-2018 13:40:08,P12,262
12-10-2018 13:40:15,F20,522
12-10-2018 13:50:01,F10,520
12-10-2018 13:50:08,P10,281
12-10-2018 13:50:08,P11,249
12-10-2018 13:50:08,P12,262
12-10-2018 13:50:15,F20,521
12-10-2018 14:00:02,F10,520
12-10-2018 14:00:09,P10,279
12-10-2018 14:00:09,P11,248
12-10-2018 14:00:09,P12,261
12-10-2018 14:00:16,F20,518
12-10-2018 14:10:01,F10,522
12-10-2018 14:10:08,P10,280
12-10-2018 14:10:08,P11,249
12-10-2018 14:10:08,P12,261
12-10-2018 14:10:15,F20,516
12-10-2018 14:20:01,F10,523
12-10-2018 14:20:09,P10,280
12-10-2018 14:20:09,P11,249
12-10-2018 14:20:09,P12,262
12-10-2018 14:20:16,F20,517
12-10-2018 14:30:01,F10,527
12-10-2018 14:30:08,P10,280
12-10-2018 14:30:08,P11,248
12-10-2018 14:30:08,P12,261
12-10-2018 14:30:15,F20,516
12-10-2018 14:40:01,F10,527
12-10-2018 14:40:08,P10,280
12-10-2018 14:40:08,P11,249
12-10-2018 14:40:08,P12,262
12-10-2018 14:40:15,F20,516
12-10-2018 14:50:01,F10,528
12-10-2018 14:50:09,P10,280
12-10-2018 14:50:09,P11,249
12-10-2018 14:50:09,P12,261
12-10-2018 14:50:16,F20,518
12-10-2018 15:00:01,F10,531
12-10-2018 15:00:08,P10,279
12-10-2018 15:00:08,P11,248
12-10-2018 15:00:08,P12,261
12-10-2018 15:00:15,F20,516
12-10-2018 15:10:01,F10,533
12-10-2018 15:10:08,P10,279
12-10-2018 15:10:08,P11,248
12-10-2018 15:10:08,P12,261
12-10-2018 15:10:15,F20,516
12-10-2018 15:20:01,F10,535
12-10-2018 15:20:08,P10,280
12-10-2018 15:20:08,P11,250
12-10-2018 15:20:08,P12,262
12-10-2018 15:20:15,F20,516
12-10-2018 15:30:01,F10,537
12-10-2018 15:30:08,P10,280
12-10-2018 15:30:08,P11,248
12-10-2018 15:30:08,P12,261
12-10-2018 15:30:15,F20,517
12-10-2018 15:40:01,F10,535
12-10-2018 15:40:09,P10,280
12-10-2018 15:40:09,P11,249
12-10-2018 15:40:09,P12,262
12-10-2018 15:40:16,F20,515
12-10-2018 15:50:01,F10,541
12-10-2018 15:50:08,P10,281
12-10-2018 15:50:08,P11,250
12-10-2018 15:50:08,P12,263
12-10-2018 15:50:15,F20,513
12-10-2018 16:00:01,F10,540
12-10-2018 16:00:08,P10,280
12-10-2018 16:00:08,P11,249
12-10-2018 16:00:08,P12,262
12-10-2018 16:00:15,F20,519
12-10-2018 16:10:01,F10,538
12-10-2018 16:10:09,P10,280
12-10-2018 16:10:09,P11,250
12-10-2018 16:10:09,P12,262
12-10-2018 16:10:16,F20,520
12-10-2018 16:20:01,F10,542
12-10-2018 16:20:08,P10,280
12-10-2018 16:20:08,P11,249
12-10-2018 16:20:08,P12,262
12-10-2018 16:20:15,F20,520
12-10-2018 16:30:01,F10,543
12-10-2018 16:30:08,P10,280
12-10-2018 16:30:08,P11,249
12-10-2018 16:30:08,P12,262
12-10-2018 16:30:15,F20,521
12-10-2018 16:40:02,F10,539
12-10-2018 16:40:09,P10,280
12-10-2018 16:40:09,P11,249
12-10-2018 16:40:09,P12,262
12-10-2018 16:40:16,F20,519
12-10-2018 16:50:01,F10,544
12-10-2018 16:50:08,P10,280
12-10-2018 16:50:08,P11,249
12-10-2018 16:50:08,P12,262
12-10-2018 16:50:15,F20,519
12-10-2018 17:00:01,F10,542
